Facility Name,Longitude,Latitude,Organization Unit Rural_Urban_Semi,Organization Unit Type,Physical Address,Oral Pills (contraception),Injectables,IUDs (contraception),Implants (contraception),Female Sterilization (contraception),Male Sterilization (contraception),Male Medical Circumcision (MMC),TB,Maternal Health,Mental Health,Child Health,Oral health services,Rehabilitation Services,Minor Ailments,Sexually Transmitted Infections Screenings,HIV Testing,HIV Treatment (ART),Oral PrEP,Termination of Pregnancy - 1st Trimester,Termination of Pregnancy - 2nd Trimester
Clicks Highland Mew Pharm,0,0,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Highveld Pharm,29.94275,-27.7355,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Saveways Pharm,30.695792,-30.38556,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Middelburg M Pharm,29.461569,-25.768569,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Middelburg Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Midwater Pharm,29.93518,-27.75475,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Willowbrooke Pharm,0,0,Peri-Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Brits Mall Pharm,28.207281,-25.739407,Peri-Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Brits Pharm,30.213304,-31.04871,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Hartebeespoort Pha,30.483333,-22.95,Peri-Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Rustenburg Pharm,0,0,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Waterfall Pharm,22.45598,-33.960492,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks City Mall Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Klerksdorp Pharm,0,0,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Wilkoppies Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Mooi River Pharm,0,0,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Potch Pharm,0,0,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Lichtenburg Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Mahikeng Cr Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Mahikeng Pharm,25.643561,-25.859053,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Zeerust Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Vryburg Pharm,0,0,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Hartswater Pharm,18.460871,-34.033993,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Diamond Pav Pharm,25.586261,-32.718929,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Kimberley Pharm,19.44241,-33.649457,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks N Cape Mall Pharm,18.858521,-33.901975,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Kathu Pharm,26.665906,-26.866688,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Kalahari Pharm,25.88175,-26.08291,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Upington Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Somerset M Pharm,28.12123,-26.26921,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Soneike Pharm,27.20523,-25.6819,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Vangate Mall Pharm,30.870198,-30.065339,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Promenade Pharm,18.615335,-34.038713,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Cape Gate Pharm,14.600491,-22.646743,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Edgemead Pharm,14.524639,-22.938959,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Fairbridge Mall Ph,0,0,Rural,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Blue Route Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Cavendish C Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Constantia Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Kenilworth C Pharm,30.999698,-29.829434,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks L/Beach Mall Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Plumstead Ashers P,30.999176,-29.838178,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks N1 City Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Parow Centre Pharm,30.38849,-29.59542,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Tygervalley Pharm,30.799372,-30.203947,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Bayside Pharm,30.958698,-29.943891,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Canal Walk Pharm,30.213542,-31.049414,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Century City Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Gardens Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Glengariff Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Golden Acre Pharm,18.862575,-34.073972,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Gugulethu Sq Pharm,18.567138,-33.985482,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Howard Cnt Pharm,18.5107,-33.933216,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Melkbos Pharm,18.448376,-33.978913,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks W/coast Vill Pharm,18.484248,-33.804623,Rural,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Weskus Mall Pharm,17.986598,-32.921537,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Mount Mill Pharm,19.434495,-33.632697,Rural,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Stellenbosch Pharm,18.860161,-33.935853,Rural,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Plett Clicks Pharm,23.371796,-34.055947,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Garden Route Pharm,22.504888,-33.985835,Rural,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks George Pharm,22.457014,-33.960724,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Knysna Pharm,23.048718,-34.036202,Rural,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Langeberg Pharm,22.103983,-34.148059,Rural,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Mossel Bay Pharm,22.115842,-34.185412,Rural,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Oudtshoorn Pharm,22.204782,-33.590292,Rural,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Hermanus Pharm,19.238547,-34.420138,Rural,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Market Sq Plett Ph,23.369316,-34.042526,Rural,Pharmacy,,,,,,,,,,,,,,,,,,,,,
The Bedford Pharmacy,31.014615,-29.851819,,Pharmacy,34 Donkin Street,,,,,,,,,,,,,,,,,,,,
P Ochse Pharmacy,30.833177,-29.832541,,Pharmacy,17 Adderley Street,,,,,,,,,,,,,,,,,,,,
Dorans Pharmacy,31.037603,-29.858692,,Pharmacy,48 Somerset Street,,,,,,,,,,,,,,,,,,,,
Tsolo Pharmacy,30.963527,-29.924365,,Pharmacy,178 Thurston Street,,,,,,,,,,,,,,,,,,,,
Berea Pharmacy,30.918829,-29.881529,,Pharmacy,31 Pearce Street,,,,,,,,,,,,,,,,,,,,
Bonnie Doon Pharmacy,31.021906,-29.784898,,Pharmacy,52 Beach Road,,,,,,,,,,,,,,,,,,,,
Cambridge East London Pharmacy,31.01706,-29.855614,,Pharmacy,18 Garcia Street,,,,,,,,,,,,,,,,,,,,
Crossways Pharmacy,30.984911,-29.831473,,Pharmacy,The Village Centre,,,,,,,,,,,,,,,,,,,,
Devro-Kem Pharmacy,28.02355,-32.940718,,Pharmacy,"Shop 10, Main Road",,,,,,,,,,,,,,,,,,,,
Greenfields Pharmacy,31.03549,-29.71552,,Pharmacy,Shop 6 Settlers Way,,,,,,,,,,,,,,,,,,,,
John Forbes Pharmacy,27.900759,-33.005683,,Pharmacy,205A Oxford Street,,,,,,,,,,,,,,,,,,,,
Kirkman and Wessels Pharmacy,30.948378,-29.805698,,Pharmacy,48 Oxford Street,,,,,,,,,,,,,,,,,,,,
Ladens Pharmacy,31.03776,-29.761289,,Pharmacy,8 Cromwell Avenue,,,,,,,,,,,,,,,,,,,,
Mdantsane Pharmacy,27.76189,-32.96142,,Pharmacy,Sandile Road,,,,,,,,,,,,,,,,,,,,
The Retail Pharmacy,30.871961,-29.962221,,Pharmacy,45 St Marks Road,,,,,,,,,,,,,,,,,,,,
Vincent Family Pharmacy,30.985086,-29.834647,,Pharmacy,"Shop L12, Devereux Ave",,,,,,,,,,,,,,,,,,,,
Z-Kem Pharmacy,30.883941,-29.915029,,Pharmacy,80 Windyridge Road,,,,,,,,,,,,,,,,,,,,
Algoa Park Pharmacy,31.017931,-29.860463,,Pharmacy,St Leonards Road,,,,,,,,,,,,,,,,,,,,
Aloe  Pharmacy,30.999344,-29.850469,,Pharmacy,6th Avenue Shopping Centre,,,,,,,,,,,,,,,,,,,,
Anver Ahmed Pharmacy,30.989626,-29.937384,,Pharmacy,127 Durban Road,,,,,,,,,,,,,,,,,,,,
Beach Pharmacy,31.017827,-29.720871,,Pharmacy,"Shop 19, 8th Avenue",,,,,,,,,,,,,,,,,,,,
Charlo Pharmacy,31.013008,-29.697979,,Pharmacy,Beggar Street,,,,,,,,,,,,,,,,,,,,
Constantia PE Pharmacy,31.024548,-29.860785,,Pharmacy,"Pier 14, 444 Govan Mbeki Ave",,,,,,,,,,,,,,,,,,,,
Dijon Medicine Depot Pharmacy,31.0479,-29.643874,,Pharmacy,44 Dijon Road,,,,,,,,,,,,,,,,,,,,
Durban Road Pharmacy,30.922111,-29.910759,,Pharmacy,270 Durban Road,,,,,,,,,,,,,,,,,,,,
Greenways Family Pharmacy,31.014987,-29.85097,,Pharmacy, Cnr Melsetter & Greenways,,,,,,,,,,,,,,,,,,,,
Ian Robertson Pharmacy,25.579548,-33.980856,,Pharmacy,170 Main Road,,,,,,,,,,,,,,,,,,,,
Kempston Road Pharmacy,30.936357,-29.849719,,Pharmacy,"Ground Floor, cnr Kempston & Durban Road",,,,,,,,,,,,,,,,,,,,
Klinicare Belmore Pharmacy,30.917625,-29.834959,,Pharmacy,433 Cape Road,,,,,,,,,,,,,,,,,,,,
Klinicare Bluewater Bay Pharmacy,31.036972,-29.724694,,Pharmacy,Hill Crest Drive,,,,,,,,,,,,,,,,,,,,
Klinicare Lorraine Pharmacy,31.00013,-29.861116,,Pharmacy,Circular Drive,,,,,,,,,,,,,,,,,,,,
Klinicare Mill Park Apteek,25.597916,-33.95917,,Pharmacy,97 Cape Road,,,,,,,,,,,,,,,,,,,,
Klinimed Pharmacy,31.022355,-29.820079,,Pharmacy,32 Newton Street,,,,,,,,,,,,,,,,,,,,
Klinipharm Pharmacy,31.02657,-29.686842,,Pharmacy,349 Cape Road,,,,,,,,,,,,,,,,,,,,
Korsten Pharmacy,30.941586,-29.9191,,Pharmacy,22 Standford Rd,,,,,,,,,,,,,,,,,,,,
Linton Grange Pharmacy,30.883359,-30.056618,,Pharmacy,527 Cape Road,,,,,,,,,,,,,,,,,,,,
Marriot and Powell Pharmacy,31.052433,-29.741021,,Pharmacy,40 Govan Mbeki Ave,,,,,,,,,,,,,,,,,,,,
Motherwell Pharmacy,31.044437,-29.777493,,Pharmacy,"Shop 11, Tyinira Street",,,,,,,,,,,,,,,,,,,,
Provincial Westbourne Pharmacy,31.054333,-29.717107,,Pharmacy,84 Westbourne Road,,,,,,,,,,,,,,,,,,,,
Rink Street Pharmacy,29.425502,-30.553227,,Pharmacy,4 Rink Street,,,,,,,,,,,,,,,,,,,,
Rowallan Park Pharmacy,21.269279,-33.494029,,Pharmacy,"Shop 9,Hunters Retreat, ",,,,,,,,,,,,,,,,,,,,
Sanctor Pharmacy,30.39357,-30.833308,,Pharmacy,48 Marock Road,,,,,,,,,,,,,,,,,,,,
Summerstrand Pharmacy,25.667762,-33.987659,,Pharmacy,Torquary Street,,,,,,,,,,,,,,,,,,,,
The Medicine Chest Pharmacy,30.41443,-29.56667,,Pharmacy,77 Govan Mbeki Ave,,,,,,,,,,,,,,,,,,,,
Trochem Pharmacy,30.379055,-29.60414,,Pharmacy,18 Nojoli Street,,,,,,,,,,,,,,,,,,,,
Troppers Pharmacy,30.40145,-29.567515,,Pharmacy,63 6th Avenue,,,,,,,,,,,,,,,,,,,,
Fort Beaufort Pharmacy,30.321898,-29.647253,,Pharmacy,53 Campbell Street,,,,,,,,,,,,,,,,,,,,
Merino Pharmacy,30.408924,-29.624076,,Pharmacy,52 Church Street,,,,,,,,,,,,,,,,,,,,
Midland Drug Store Pharmacy,30.37275,-29.60782,,Pharmacy,46 Caledon Street,,,,,,,,,,,,,,,,,,,,
Grahamstown Pharmacy,30.40756,-29.57323,,Pharmacy,117 High Street,,,,,,,,,,,,,,,,,,,,
LL Wallace Pharmacy,30.40776,-29.562585,,Pharmacy,African Street,,,,,,,,,,,,,,,,,,,,
Arkade Pharmacy,30.397978,-29.618003,,Pharmacy,38 Main Street,,,,,,,,,,,,,,,,,,,,
Policlinic Pharmacy,30.407904,-29.563525,,Pharmacy,8688 Hanekam Drive,,,,,,,,,,,,,,,,,,,,
Fonteine Park Pharmacy,30.381522,-29.637897,,Pharmacy,115 Da Gama Road,,,,,,,,,,,,,,,,,,,,
Kenton Pharmacy,30.4073,-29.564973,,Pharmacy,40 Kenton Road,,,,,,,,,,,,,,,,,,,,
Beaconhurst Pharmacy,29.8779,-29.00427,,Pharmacy,Shop 1 Major Square Shopping Complex,,,,,,,,,,,,,,,,,,,,
Amathole Valley Pharmacy,30.772079,-29.788885,,Pharmacy,"Shop 15,  139 Alexandra Road",,,,,,,,,,,,,,,,,,,,
Harrisons Pharmacy,30.766122,-29.773914,,Pharmacy,2 Maclean Street,,,,,,,,,,,,,,,,,,,,
Hendricks Pharmacy,30.894359,-29.79547,,Pharmacy,116 Cambridge Road,,,,,,,,,,,,,,,,,,,,
Kirkwood Pharmacy,30.854158,-29.827716,,Pharmacy,"Lot277, Main Street",,,,,,,,,,,,,,,,,,,,
Vallei Pharmacy,27.390248,-32.873893,,Pharmacy,Middel Street,,,,,,,,,,,,,,,,,,,,
Burgersdorp Pharmacy,26.329126,-30.994627,,Pharmacy,22 Taylor St,,,,,,,,,,,,,,,,,,,,
Karroo apteek,25.0072,-31.495778,,Pharmacy,1 Market Street,,,,,,,,,,,,,,,,,,,,
Medikor Pharmacy,25.006518,-31.493944,,Pharmacy,8 Meintjies Street,,,,,,,,,,,,,,,,,,,,
Mthatha Plaza Pharmacy,28.745891,-31.60175,,Pharmacy,"Shop 38, Nelson Mandela Drie",,,,,,,,,,,,,,,,,,,,
Leach Pharmacy,26.883155,-33.590643,,Pharmacy,Masonic Street,,,,,,,,,,,,,,,,,,,,
Medipark Pharmacy,26.878987,-31.895652,,Pharmacy,43 Grey Street,,,,,,,,,,,,,,,,,,,,
Bolzes Pharmacy,26.873141,-31.895216,,Pharmacy,11 Robinson Rd,,,,,,,,,,,,,,,,,,,,
Magers Pharmacy,26.872988,-31.896414,,Pharmacy,73 Cathcart Road,,,,,,,,,,,,,,,,,,,,
Binnehof Pharmacy,25.398116,-33.771212,,Pharmacy,Shop 89,,,,,,,,,,,,,,,,,,,,
Drostdy Pharmacy,25.602242,-33.960837,,Pharmacy,Johan CronjÃ© Square,,,,,,,,,,,,,,,,,,,,
Colletts Pharmacy,27.429392,-32.570133,,Pharmacy,32 Hill Street,,,,,,,,,,,,,,,,,,,,
Oos KaapÂ + Clinic,24.77024,-34.029473,,Pharmacy,54 Main Street,,,,,,,,,,,,,,,,,,,,
Pharmacy at SPAR Rowallan Park,25.491617,-33.939443,,Pharmacy,"HUNTERS RETREAT SHOPPING CN,CAPE RD ROWALLAN PARK PE 6001",,,,,,,,,,,,,,,,,,,,
Provincial Westbourne Pharmacy at SPAR,25.60203,-33.96018,,Pharmacy,"84 Westbourne Road, Port Elizabeth, 6001",,,,,,,,,,,,,,,,,,,,
Deneysville Pharmacy,28.09739,-26.88984,,Pharmacy,11 Main Road,,,,,,,,,,,,,,,,,,,,
Medi-Chem Rose Park Pharmacy,26.17849,-29.1482,,Pharmacy,53 Gustuv Circle,,,,,,,,,,,,,,,,,,,,
Medi-Chem Pellissier  Pharmacy,26.164808,-29.148049,,Pharmacy,Volkspele Rylaan,,,,,,,,,,,,,,,,,,,,
Waverley Pharmacy,26.246557,-29.09624,,Pharmacy,"Shop 4, 130 Andries Pretorius Street",,,,,,,,,,,,,,,,,,,,
Avenue Pharmacy,26.866586,-28.105362,,Pharmacy,Odyssey Building,,,,,,,,,,,,,,,,,,,,
Bahlabani Pharmacy,26.84596,-29.217091,,Pharmacy,30 Jan Van Riebeeck Street,,,,,,,,,,,,,,,,,,,,
Bloemfontein Pharmacy,26.223457,-29.117857,,Pharmacy,32 East Burger Street,,,,,,,,,,,,,,,,,,,,
Bokamoso Pharmacy,27.887806,-28.877043,,Pharmacy,45 Erwee Street,,,,,,,,,,,,,,,,,,,,
Brandfort Pharmacy,26.464704,-28.701645,,Pharmacy,39 Voortrekker Street,,,,,,,,,,,,,,,,,,,,
Chameleon Pharmacy,26.73359,-27.98441,,Pharmacy,329 long Road,,,,,,,,,,,,,,,,,,,,
Dales Pharmacy,29.125885,-28.273151,,Pharmacy,60 Vowe Street,,,,,,,,,,,,,,,,,,,,
Die Hoek Apteek,28.30955,-28.23409,,Pharmacy,32F Louw Street,,,,,,,,,,,,,,,,,,,,
Drommedaris Pharmacy,26.616961,-27.392567,,Pharmacy,21 Botha Street,,,,,,,,,,,,,,,,,,,,
Elizabeth Street Pharmacy,26.73986,-27.98022,,Pharmacy,4 Elizabeth Street,,,,,,,,,,,,,,,,,,,,
ER Meyer Pharmacy,26.68483,-27.87579,,Pharmacy,80 Waterkant Street,,,,,,,,,,,,,,,,,,,,
Flamingo Pharmacy,26.744508,-27.962651,,Pharmacy,27 Pretorius Street,,,,,,,,,,,,,,,,,,,,
Frank Korb Pharmacy,26.805014,-27.936071,,Pharmacy,51B Craib Avenue,,,,,,,,,,,,,,,,,,,,
Geen & Velleman Pharmacy,27.456899,-26.90096,,Pharmacy,44 Middel Street,,,,,,,,,,,,,,,,,,,,
Generaal de Wet Pharmacy,26.19486,-29.15331,,Pharmacy,128 Barry Richter Avenue,,,,,,,,,,,,,,,,,,,,
Heidedal Pharmacy,26.254328,-29.141852,,Pharmacy,Shop 26,,,,,,,,,,,,,,,,,,,,
Henneman Pharmacy,27.023868,-27.971605,,Pharmacy,6 Church Street,,,,,,,,,,,,,,,,,,,,
Hoopstad Apteek,25.903442,-27.835045,,Pharmacy,31 Van Zyl Street,,,,,,,,,,,,,,,,,,,,
Jan Cilliers park Pharmacy,26.74722,-27.99318,,Pharmacy,135 Koppie Alleen Road,,,,,,,,,,,,,,,,,,,,
Kroon Pharmacy,28.309452,-28.232735,,Pharmacy,26B Louw Street,,,,,,,,,,,,,,,,,,,,
Kroonstad Pharmacy,27.23637,-27.66291,,Pharmacy,28 Buitekant Street,,,,,,,,,,,,,,,,,,,,
Makfed Pharmacy,28.816667,-28.533333,,Pharmacy,Shop No 6/7 Setsing Shopping Complex,,,,,,,,,,,,,,,,,,,,
Maluti Pharmacy,28.82848,-28.50638,,Pharmacy,Shop 19,,,,,,,,,,,,,,,,,,,,
Mangaung Pharmacy,26.234476,-29.174343,,Pharmacy,Moshoeshoe Road,,,,,,,,,,,,,,,,,,,,
Medibloem Pharmacy,26.203202,-29.108664,,Pharmacy,Mediclinic Kellner Street,,,,,,,,,,,,,,,,,,,,
Oranje Pharmacy,26.865405,-28.10567,,Pharmacy,22 Bullion Street,,,,,,,,,,,,,,,,,,,,
Palm Gate Pharmacy,27.459872,-26.901662,,Pharmacy,Phillip Street,,,,,,,,,,,,,,,,,,,,
Parys Pharmacy,27.457868,-26.901282,,Pharmacy,49 Dolf Street,,,,,,,,,,,,,,,,,,,,
Paul Lamprecht Pharmacy,26.86721,-28.103054,,Pharmacy,36 Government Ave,,,,,,,,,,,,,,,,,,,,
Preller Square Pharmacy,26.211565,-29.087714,,Pharmacy,"Shop 11,  Graaf Reinet Street",,,,,,,,,,,,,,,,,,,,
President Pharmacy,29.16469,-27.425882,,Pharmacy,Cnr Church & Voortrekker Street,,,,,,,,,,,,,,,,,,,,
Rendezvous Pharmacy,26.738512,-27.982224,,Pharmacy,Mooi Street,,,,,,,,,,,,,,,,,,,,
Riemland Pharmacy,27.96727,-27.284878,,Pharmacy,40 Pierce Street,,,,,,,,,,,,,,,,,,,,
Roodt Pharmacy,27.455772,-26.900017,,Pharmacy,18 Middel Street,,,,,,,,,,,,,,,,,,,,
Roscher Pharmacy,27.23466,-27.67109,,Pharmacy,4 Blignaut Street,,,,,,,,,,,,,,,,,,,,
Senekal Pharmacy,27.622817,-28.325939,,Pharmacy,39 Dreyer Street,,,,,,,,,,,,,,,,,,,,
Sentrum Pharmacy,26.741485,-27.981035,,Pharmacy,"Shop 5, Cnr Arrarat & Stateway",,,,,,,,,,,,,,,,,,,,
Spitskop Pharmacy,26.159232,-29.090934,,Pharmacy,"shop 12, Cnr NP van Wyk Louw & Cecilia Streets",,,,,,,,,,,,,,,,,,,,
Syd Goldstein Pharmacy,27.23296,-27.66265,,Pharmacy,39 Cross Street,,,,,,,,,,,,,,,,,,,,
Thaba Nchu Pharmacy,26.820351,-29.203958,,Pharmacy,No 3 ,,,,,,,,,,,,,,,,,,,,
The Village Pharmacy,27.438019,-28.68809,,Pharmacy,4 Farm,,,,,,,,,,,,,,,,,,,,
Theunissen Pharmacy,26.713182,-28.400282,,Pharmacy,41 Van Heerden Street,,,,,,,,,,,,,,,,,,,,
Village Square Pharmacy,28.317487,-28.2331,,Pharmacy,Cnr Baartman & Eeufees Street,,,,,,,,,,,,,,,,,,,,
Virginia Pharmacy,26.871339,-28.110278,,Pharmacy,Market Street,,,,,,,,,,,,,,,,,,,,
Voortrekker Pharmacy,26.221249,-29.116382,,Pharmacy,"Shop 8, Middestad Centre",,,,,,,,,,,,,,,,,,,,
Vrede Pharmacy,29.162736,-27.426828,,Pharmacy,51 Kerk Street,,,,,,,,,,,,,,,,,,,,
Vredefort Pharmacy,27.366093,-27.005852,,Pharmacy,Oranje Street,,,,,,,,,,,,,,,,,,,,
Warden Pharmacy,28.965356,-27.858203,,Pharmacy,37 Piet Retief Street,,,,,,,,,,,,,,,,,,,,
Wesselsbron Pharmacy,26.773216,-28.004565,,Pharmacy,6 Erwee Street,,,,,,,,,,,,,,,,,,,,
Wilge Pharmacy,28.494041,-27.273706,,Pharmacy,46 JJ Hadebe Street,,,,,,,,,,,,,,,,,,,,
Willows Pharmacy,26.20782,-29.12264,,Pharmacy,11A Ella Street,,,,,,,,,,,,,,,,,,,,
Jacobsdal Pharmacy,24.772993,-29.127574,,Pharmacy,Piet Retief Street,,,,,,,,,,,,,,,,,,,,
Leibbrandt Pharmacy,27.82818,-26.81667,,Pharmacy,Fichardt Square,,,,,,,,,,,,,,,,,,,,
Lethabo Pharmacy,27.84342,-26.772032,,Pharmacy,Van Staden Straat 4,,,,,,,,,,,,,,,,,,,,
Medpark Pharmacy,27.826496,-26.811843,,Pharmacy,NJ Van der Merwe Circle,,,,,,,,,,,,,,,,,,,,
Roodia Pharmacy,27.848414,-26.774325,,Pharmacy,Opperman Str,,,,,,,,,,,,,,,,,,,,
Pharmacy At Spar Heuwelsig,26.196964,-29.07657,,Pharmacy,"SHOP 10, 10 OGILVY STREET, HEUWELSIG, BLOEMFONTEIN, 9301",,,,,,,,,,,,,,,,,,,,
Pestle and Mortar Pharmacy,28.123085,-26.188118,,Independent Community Pharmacy Association(ICPA),126 Bedford Centre,,,,,,,,,,,,,,,,,,,,
Senderwood Pharmacy,28.124309,-26.157787,,ICPA,13 Chaucer Avenue,,,,,,,,,,,,,,,,,,,,
Lab Health and Home Pharmacy,27.39023,-26.3471,,ICPA,54 Van Zyl Smit Street,,,,,,,,,,,,,,,,,,,,
Laudium  Pharmacy,28.103012,-25.788314,,ICPA,290 Tangerine Street,,,,,,,,,,,,,,,,,,,,
Medicare Palm Court Pharmacy,27.931523,-26.125166,,ICPA,Palm Court Shopping Centre,,,,,,,,,,,,,,,,,,,,
Kilburn Pharmacy,27.88615,-26.15661,,ICPA,117 Kilburn Street,,,,,,,,,,,,,,,,,,,,
Barry's Pharmacy,28.091784,-26.294046,,ICPA,Shop 12B,,,,,,,,,,,,,,,,,,,,
Clinicross Pharmacy,28.096069,-26.313187,,ICPA,38 Hennie Alberts Street,,,,,,,,,,,,,,,,,,,,
Benchem Dispensary Pharmacy,28.31704,-26.19097,,ICPA,24 Tom Jones Street,,,,,,,,,,,,,,,,,,,,
Ben-chem Pharmacy,28.32205,-26.19174,,ICPA,44 Harpur Avenue,,,,,,,,,,,,,,,,,,,,
Brentwood Pharmacy,28.296833,-26.144493,,ICPA,28A  Great North Road,,,,,,,,,,,,,,,,,,,,
Falls Pharmacy,28.30908,-26.166776,,ICPA,Cnr Great North Road & Webb Street,,,,,,,,,,,,,,,,,,,,
Farrarcare Pharmacy,28.29737,-26.16168,,ICPA,110 Bayley Street,,,,,,,,,,,,,,,,,,,,
Hira Street Pharmacy,28.29995,-26.21154,,ICPA,757 Singh Street,,,,,,,,,,,,,,,,,,,,
Mackenzie Park Pharmacy,28.33031,-26.19903,,ICPA,19 Heron Street,,,,,,,,,,,,,,,,,,,,
Mediklin Pharmacy,28.330074,-26.17323,,ICPA,Cnr 2nd Street & 6th Avenue,,,,,,,,,,,,,,,,,,,,
Nazeema's Pharmacy,28.300786,-26.213179,,ICPA,1522 Soma Street,,,,,,,,,,,,,,,,,,,,
Quicksilver Dispensary Pharmacy,28.328657,-26.171332,,ICPA,5-9Th Avenue,,,,,,,,,,,,,,,,,,,,
Rynfield Health and Home Pharmacy,28.332459,-26.156642,,ICPA,31 Miles Sharp Street,,,,,,,,,,,,,,,,,,,,
Tlangelani Daveyton Pharmacy,28.400972,-26.162799,,ICPA,"Shop 4, Cnr Heald & Matthewson Street",,,,,,,,,,,,,,,,,,,,
Boksburg Pharmacy,28.253324,-26.223368,,ICPA,286 Commissioner Str,,,,,,,,,,,,,,,,,,,,
Centrum Pharmacy,28.25408,-26.197659,,ICPA,370 Trichardt Street,,,,,,,,,,,,,,,,,,,,
MedLeigh Pharmacy,28.244745,-26.199272,,ICPA,"Shop 10, Rietfontein Road",,,,,,,,,,,,,,,,,,,,
