Facility Name,Longitude,Latitude,Organization Unit Rural_Urban_Semi,Organization Unit Type,Oral Pills (contraception) ,Injectables,IUDs  (contraception) ,Implants (contraception)  ,Female Sterilization (contraception) ,Male Sterilization (contraception) ,Male Medical Circumcision (MMC),TB ,Maternal Health,Mental Health,  Oral health services ,Rehabilitation Services,Minor Ailments,Sexually Transmitted Infections Screenings,HIV Testing ,HIV Treatment (ART) ,Oral PrEP ,Termination of Pregnancy - 1st Trimester,Termination of Pregnancy - 2nd Trimester,AYFS Accredited,CCMDD Pick Up Point,Physical Address
Viljoenskroon Mobile 1,26.9678,-27.1913,Peri-Urban,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Viljoenskroon Mobile 2,26.9678,-27.1913,Peri-Urban,Mobile Service,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Heilbron Clinic,27.9681,-27.2903,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Heilbron Mobile 1,27.952,-27.3182,Peri-Urban,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Heilbron PHC Inside Clinic,27.968,-27.29,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Kananelo CHC,27.36813,-27.0047,Peri-Urban,Community Health Centre,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Kganya CHC,27.58748,-27.2342,Urban,Community Health Centre,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Koppies Mobile 1,27.5875,-27.2342,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Parys Clinic,27.45715,-26.8993,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Parys Hospital,27.47207,-26.8959,Urban,District Hospital,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Relebohile (Heilbron) Clinic,27.97537,-27.2717,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Relebohile (Vredefort) Clinic,27.37608,-27.0021,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Sandersville Clinic,27.96498,-27.2747,Peri-Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Schonkenville Clinic,27.46278,-26.9332,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Sizabantu Clinic,27.97763,-27.2661,Urban,Clinic,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,,Not Registered,
Thabang Society Clinic,27.477097,-26.923778,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Thusanong (Parys) Clinic,27.48483,-26.9201,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Tumahole Clinic,27.46773,-26.9162,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,,Not Registered,
Vivian Mangwane Clinic,27.496379,-26.921,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Brandfort Mobile 1,26.4638,-28.6973,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Brandfort Mobile 2,26.4638,-28.6973,Rural,Mobile Service,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Duke Street Clinic,26.4638,-28.6973,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Kamohelo Clinic,27.00165,-28.5311,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Lusaka Clinic,26.69797,-28.4166,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Marantha Clinic,26.46281,-28.6907,Urban,Clinic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Masilo Clinic,26.70712,-28.4098,Urban,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,,Registered,
Tshepong (Verkeerdevlei) Clinic,26.76212,-28.8401,Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Vaal Rock Clinic,26.46135,-28.6815,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Winburg Clinic,27.01312,-28.5186,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Winburg Hospital,27.00802,-28.5098,Urban,District Hospital,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Allanridge Clinic,26.64478,-27.7533,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
AM Kruger Clinic,26.68533,-27.873,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Boithusong Clinic,26.76047,-27.8552,Urban,Clinic,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Bongani Hospital,26.7862,-27.9531,Urban,Regional Hospital,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Bophelong (Allanridge) Clinic,26.65688,-27.7769,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,,Registered,
National District Hospital,26.2064,-29.127,Urban,District Hospital,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Bophelong (Odendaalsrus) Clinic,26.77652,-27.8591,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,Registered,
Bophelong (Welkom) Clinic,26.83533,-27.969,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Bronville Clinic,26.81323,-27.9965,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Geneva Clinic,26.75535,-27.8552,Urban,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Hani Park Clinic,26.82359,-27.9871,Urban,Clinic,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Hennenman Clinic,27.01997,-27.9724,Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Hope CHC,27.14397,-28.0817,Urban,Community Health Centre,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Kgotsong (Welkom) Clinic,26.8207,-27.97002,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Khotalong Clinic,26.90292,-28.1318,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,Registered,
Kopano CHC,26.728,-27.983,Urban,Community Health Centre,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Kopano MDR Hospital,26.729131,-27.985,Urban,Specialised TB Hospital,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Leratong Clinic,26.65683,-27.7808,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Matjhabeng Clinic,26.79838,-27.9673,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Meloding Clinic,26.89767,-28.1299,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Botshabelo Hospital,26.71572,-29.2325,Urban,District Hospital,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Mmamahabane Clinic,27.14768,-28.0917,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,,Registered,
Odendaalsrus Mobile 2,26.76047,-27.8552,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
OR Tambo Clinic,26.88734,-28.1496,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Phedisanang Clinic,26.77053,-27.8565,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Phomolong (Hennenman) Clinic,27.08118,-28.014,Urban,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Rearabetsoe (Virginia) Clinic,26.86415,-28.0624,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,,Registered,
Rheederspark Clinic,26.72002,-27.9545,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Riebeeckstad Clinic,26.81187,-27.9335,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Thabong Clinic,26.79163,-27.964,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Tshepong (Welkom) Clinic,26.83607,-27.9577,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Virginia Clinic,26.86413,-28.1076,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Virginia Mobile 1,26.86493,-28.104,Rural,Mobile Service,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Welkom Clinic,26.7414,-27.9854,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Welkom Mobile 1,26.73755,-27.9774,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Albert Luthuli Memorial Clinic,26.3668,-27.8362,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Bothaville Clinic,26.61942,-27.3925,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Bothaville Mobile 1,26.6199,-27.3878,Rural,Mobile Service,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Bothaville Mobile 2,26.6199,-27.3878,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Bothaville Mobile 3,26.6199,-27.3878,Rural,Mobile Service,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Dr JS Moroka Hospital,26.83468,-29.2045,Rural,District Hospital,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Kgotsong (Bothaville) Clinic,26.64423,-27.3902,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,,Not Registered,
K-Maile Clinic,26.65739,-27.3839,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Nala Hospital,26.61783,-27.3946,Urban,District Hospital,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,,Not Registered,
Naledi (Bothaville) Mobile 1,26.58,-27.39,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Wesselsbron Mobile 1,26.3675,-27.8548,Rural,Mobile Service,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Wesselsbron Mobile 2,26.3675,-27.8548,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Boshof Clinic,25.2516,-28.5504,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Boshof Mobile 1,25.23914,-28.5417,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Dealesville Clinic,25.76528,-28.6717,Urban,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Hertzogville Mobile 1,25.5039,-28.127,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Hertzogville Mobile 2,25.5039,-28.127,Rural,Mobile Service,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Tshwaraganang (Dealesville) Clinic,25.77142,-28.6579,Urban,Clinic,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,,Not Registered,
Tshwaraganang (Hertzogville) Clinic,25.49985,-28.123,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Bultfontein Mobile 1,26.14875,-28.2884,Rural,Mobile Service,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Bultfontein Mobile 2,26.14875,-28.2884,Rural,Mobile Service,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
DA Maleho Clinic,26.15387,-28.2914,Urban,Clinic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Hoopstad Clinic,25.91473,-27.8323,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Hoopstad Mobile 1,25.90476,-27.8333,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Hoopstad Mobile 2,25.90476,-27.8333,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Mohau Hospital,25.91538,-27.8323,Urban,District Hospital,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Phahameng (Bultfontein) Clinic,26.14848,-28.3007,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Aandrus Clinic,26.1952,-29.1255,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Bainsvlei Clinic,26.12987,-29.0645,Peri-Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Batho Clinic,26.22728,-29.1389,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Bayswater Clinic,26.24407,-29.0847,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Bloemfontein Mobile 1,26.21535,-29.1147,Urban,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Bloemfontein Mobile 2,26.21535,-29.1147,Urban,Mobile Service,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Bloemfontein Mobile 3,26.21535,-29.1147,Urban,Mobile Service,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Bloemfontein Mobile 6,26.21535,-29.1147,Urban,Mobile Service,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Bloemfontein Mobile 7,26.21535,-29.1147,Urban,Mobile Service,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Phekolong Hospital,28.32645,-28.2176,Urban,District Hospital,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Bloemspruit Clinic,26.27142,-29.1373,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,,Not Registered,
Central Park Clinic,26.22297,-29.1207,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Elrich Park Clinic,26.212835,-29.1521,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Fauna Clinic,26.18987,-29.1655,Urban,Clinic,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Fichardtpark Clinic,26.1818,-29.1438,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Freedom Square Clinic,26.25365,-29.1738,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Freedom Square Mobile 1,26.186,-29.115,Urban,Mobile Service,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Free State Psychiatric Complex Hospital,26.209264,-29.1338,Urban,Specialised Psychiatric Hospital,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Elizabeth Ross Hospital,28.81755,-28.589,Rural,District Hospital,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Gabriel Dichabe Clinic,26.21535,-29.1147,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,Not Registered,
Heidedal CHC,26.24637,-29.1416,Urban,Community Health Centre,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Heidedal Clinic,26.246,-29.142,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Hostel nr 1 Clinic,26.23828,-29.1341,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Ikgomotseng Clinic,26.10485,-28.7361,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Kagisanong Clinic,26.24503,-29.1962,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Langenhovenpark Clinic,26.15587,-29.0978,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Lourierpark Clinic,26.17435,-29.1778,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
MCDC Clinic,26.21987,-29.1753,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Medicross Heidedal Clinic,26.245,-29.141,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Medicross Noordstad Clinic,26.233456,-29.0709,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Mmabana Clinic,26.24172,-29.1507,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,,Not Registered,
Monument Clinic,26.21882,-29.1327,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
MUCPP CHC,26.24293,-29.1792,Urban,Community Health Centre,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
National District Hospital Gateway Clinic,26.20703,-29.1281,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Noorderbloem Clinic,26.25,-29.15,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Opkoms Clinic,26.25227,-29.1445,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,,Not Registered,
Opkoms Mobile 1,26.25728,-29.1475,Rural,Mobile Service,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Pelonomi Hospital,26.24572,-29.1413,Urban,Provincial Tertiary Hospital,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,,Not Registered,
SAMHS 3 Military Hospital,26.193444,-29.0944,Urban,Military Hospital,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
SANDF Clinic,26.189458,-29.091,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Santoord TB Hospital,26.85,-29.22,Urban,Specialised TB Hospital,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Thusong Clinic,26.23462,-29.1847,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Universitas (C) Hospital,26.18432,-29.118,Urban,National Central Hospital,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Westdene Clinic,26.20763,-29.1027,Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Wilgehof Clinic,26.191187,-29.1276,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Bophelong (Botshabelo) Clinic,26.73307,-29.2778,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Botshabelo Industrial Clinic,26.70412,-29.2041,Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Botshabelo L Mobile 1,26.71572,-29.2325,Rural,Mobile Service,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Botshabelo M Mobile 1,26.71572,-29.2325,Rural,Mobile Service,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Daniel Ngatane Clinic,26.727579,-29.2326,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Dr Pedro Memorial Clinic,26.68177,-29.2079,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Harry Gwala (Botshabelo) Clinic,26.71105,-29.2876,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Itumeleng (Botshabelo) Clinic,26.71965,-29.2854,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
